Elevation,Land_cover_forests,Land_cover_shrublands,Land_cover_savannas,Land_cover_grasslands,Land_cover_croplands,Land_cover_urban_areas,Temperature_interpolated_rasters,Precipitation_interpolated_rasters
49.4700012207031,14,0,0,3,0,83,0.373607844114304,517.074279785156
49.4700012207031,14,0,0,3,0,83,0.395763665437698,518.117614746094
49.4700012207031,14,0,0,3,0,83,0.467492610216141,518.855773925781
96.4100036621094,5,0,0,0,3,92,0.356741666793823,540.3359375
49.4700012207031,14,0,0,3,0,83,0.254670709371567,523.486450195312
142.029998779297,100,0,0,0,0,0,1.4962203502655,706.928955078125
159.850006103516,91,0,0,0,8,1,1.32892715930939,697.646606445312
142.029998779297,100,0,0,0,0,0,1.48934173583984,706.588745117188
33.0900001525879,5,0,0,0,5,90,4.55577993392944,873.117004394531
47.9599990844727,40,0,0,0,36,24,-2.29955339431763,1127.49597167969
237.479995727539,99,0,0,1,0,0,-4.37539911270142,1320.27062988281
47.9599990844727,40,0,0,0,36,24,2.30944275856018,712.879760742188
216.199996948242,100,0,0,0,0,0,9.40092277526855,1519.64624023438
159.850006103516,91,0,0,0,8,1,17.3159866333008,925.298034667969
277.309997558594,29,0,0,0,71,0,21.559720993042,944.275268554688
24.2299995422363,2,0,0,0,2,96,0.0489932745695114,516.693725585938
220.830001831055,90,0,0,0,4,6,15.23961353302,904.309326171875
269.470001220703,97,0,0,0,3,0,23.1799716949463,851.465087890625
49.4700012207031,14,0,0,3,0,83,0.384796172380447,517.594177246094
438,100,0,0,0,0,0,18.0457248687744,2624.63159179688
436.730010986328,98,0,0,0,2,0,-0.467069447040558,516.018676757812
40.9099998474121,0,0,0,0,98,2,10.2784948348999,607.51220703125
277.859985351562,47,0,0,0,53,0,0.926168382167816,639.876708984375
277.859985351562,47,0,0,0,53,0,0.910950362682343,639.109680175781
323.309997558594,37,0,0,0,58,5,0.871790647506714,636.640930175781
433.910003662109,95,0,0,0,5,0,14.9178647994995,864.007934570312
113.75,19,0,0,8,71,2,7.95254898071289,1493.42065429688
441.959991455078,95,0,0,5,0,0,NA,NA
128.440002441406,0,0,0,0,100,0,13.1000680923462,194.623382568359
204.589996337891,17,0,0,0,83,0,-2.13322806358337,928.556030273438
87.0400009155273,37,0,0,19,44,0,20.8718605041504,906.75732421875
176.449996948242,0,0,0,0,99,1,-2.10135817527771,950.552368164062
176.449996948242,0,0,0,0,99,1,-2.09239864349365,951.189392089844
176.449996948242,0,0,0,0,99,1,6.57324981689453,1023.02569580078
33.2200012207031,0,0,0,0,100,0,20.7556552886963,794.220153808594
87.0400009155273,37,0,0,19,44,0,0.16753414273262,1745.72839355469
108.51000213623,32,0,0,2,65,1,19.9317665100098,1050.60607910156
142.160003662109,1,0,0,0,87,12,23.9639186859131,1371.70666503906
113.75,19,0,0,8,71,2,23.973804473877,1370.50903320312
128.440002441406,0,0,0,0,100,0,1.94939351081848,703.842041015625
190.220001220703,0,0,0,0,100,0,2.00630354881287,692.265686035156
437.019989013672,81,0,0,0,19,0,18.4963970184326,1591.23327636719
112.730003356934,0,0,0,0,95,5,24.6724433898926,858.358642578125
387.529998779297,83,0,0,0,17,0,23.5821437835693,851.488586425781
119.660003662109,3,0,0,0,97,0,-1.68791568279266,848.668762207031
88.2200012207031,15,0,0,0,51,34,10.0678253173828,273.553863525391
119.660003662109,3,0,0,0,97,0,1.85251808166504,660.444641113281
211.630004882812,0,0,0,0,100,0,20.4764175415039,967.654968261719
185.050003051758,0,0,0,0,85,15,24.8097610473633,916.828247070312
243.470001220703,47,0,0,0,53,0,4.66131353378296,588.212341308594
323.309997558594,37,0,0,0,58,5,-3.17492270469666,742.543090820312
220.479995727539,9,0,0,0,91,0,11.6953287124634,297.996368408203
323.309997558594,37,0,0,0,58,5,-3.17492270469666,742.543090820312
165.25,0,0,0,0,100,0,2.40933418273926,1290.86669921875
436.730010986328,98,0,0,0,2,0,15.1498737335205,1311.54089355469
559.059997558594,99,0,0,0,1,0,17.5472259521484,1096.19323730469
244.029998779297,93,0,0,0,7,0,22.9307765960693,436.427581787109
283.519989013672,71,0,0,0,29,0,23.4986743927002,820.095825195312
283.519989013672,71,0,0,0,29,0,17.1608543395996,1278.99438476562
323.309997558594,37,0,0,0,58,5,16.5263805389404,1438.53759765625
138.660003662109,71,0,0,0,29,0,NA,NA
30.2600002288818,74,0,0,2,19,5,13.995885848999,361.406646728516
49.4700012207031,14,0,0,3,0,83,0.384796172380447,517.594177246094
54.8199996948242,8,0,0,20,0,71,0.493483364582062,523.451416015625
49.4700012207031,14,0,0,3,0,83,0.41674280166626,522.321411132812
54.8199996948242,8,0,0,20,0,71,0.572716653347015,521.484375
41.1100006103516,4,0,0,21,0,73,0.749670922756195,515.438720703125
55.689998626709,42,0,0,18,12,28,-4.34390211105347,1162.53771972656
147.570007324219,64,0,0,0,26,10,-4.00782537460327,740.866027832031
149.270004272461,53,0,0,0,47,0,16.3973636627197,1108.62561035156
120.830001831055,14,0,0,0,71,15,17.8294639587402,988.529357910156
138.839996337891,99,0,0,0,0,1,19.0602874755859,1447.32092285156
172.529998779297,72,0,0,0,2,26,18.1718692779541,1142.45556640625
138.070007324219,81,0,0,0,3,16,19.4356918334961,1643.11791992188
71.0899963378906,28,0,0,0,17,55,19.9245643615723,923.896423339844
163.5,58,0,0,0,41,1,16.9570388793945,1144.6494140625
117.389999389648,67,0,0,0,3,30,16.20583152771,1132.27856445312
170.089996337891,100,0,0,0,0,0,-1.31640636920929,913.746398925781
163.5,58,0,0,0,41,1,16.7750930786133,1137.26232910156
327.649993896484,100,0,0,0,0,0,20.9278526306152,1709.158203125
